,review,Total Star,Menu,Star_opt,Date,Output
1,역시나 믿고 먹는 비비큐 양념입니다,★★★★★,황금올리브치킨™순살양념/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
2,배달빠르고 맛있어요,★★★★★,자메이카 통다리구이/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
3,맛있어요 조금짜긴하지만,★★★★★,황금올리브치킨™반반/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
4,프라이드는 비비큐가 최고,★★★★★,황금올리브치킨™/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,5.0
5,너무너무 맛잇어요 ㅎㅎ,★★★★★,황금올리브치킨™반반/1(추가메뉴(치킨무 추가)),"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,5.0
6,배달빠르고 맛있어요,★★★★★,황금올리브치킨™닭다리/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
7,배달도 빨리 왔고 뜨끈하게 너무 맛있게 먹었습니당,★★★★★,"자메이카 통다리구이 반마리/1,황금알치즈볼/1","
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
8,양도많고 넘맛있어요,★★★★★,황금올리브치킨™/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
9,매우만족 입니다 강추,★★★★★,핫황금올리브치킨™크리스피/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,1.0
10,닭이 아니고 병아리 다리인 줄 알았습니다 두번째 사진은 타 지점이구요 리뷰보니 다른 사람도 말 있던데 본사 닭이어도 인간적으로 엄지만한 닭다리는 알아서 걸러야 되는 거 아닌가요 껍질 퀄리티도 참 그렇다고 요청 사항을 들어준 것도 아니고 좀 심하네요,★,황금올리브치킨™/1,"
맛
★
1
양
★
1
배달
★
1
",2022년 7월,5.0
11,맛나게 잘 먹었습니다,★★★★★,황금올리브치킨™/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,5.0
12,맛있게 잘 먹었습니다,★★★★★,황금올리브치킨™반반/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,4.0
13,작게 조각내 달라했더니 엄청 크게 조각내 주셨네요  요청사항 좀 잘 보시길,★★,황금올리브치킨™반반/1,"
맛
★
2
양
★
1
배달
★
2
",2022년 7월,4.0
14,맛  개취마다 다르겠지만 제마음속위 치킨양  닭다리가 크면크고 작으면 작아야지       큰다리작은다리섞여있어서 고개를 갸우뚱했네요배달  완전빠름 배달하시는분이 엄청친절하셨음          배달기사님 다음에 또 오셨으면 좋겠음,★★★★★,"황금올리브치킨™ 콤보 반반/1,크런치 버터치킨/1,파인마요소스（75g）/1,치즈갈릭소스（75g）/1,콜라 1.25L/1","
맛
★
5
양
★
4
배달
★
5
",2022년 6월,5.0
15,최고 입니다 맛있습니다,★★★★★,황금올리브치킨™/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 6월,5.0
16, 맛있어요,★★★★★,"황금올리브치킨™핫윙/1,오감볼/1","
맛
★
5
양
★
5
배달
★
5
",2022년 6월,5.0
17,맛있어요 ㅎ ㅎ ㅎ ㅎ ㅎ,★★★★★,황금올리브치킨™ 콤보 핫크리스피/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 5월,5.0
18,맛있어여 믿고먹는,★★★★★,황금올리브치킨™닭다리/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 5월,5.0
19,많이먹었지만 오늘처럼 닭이 이렇게 작은건 처음먹어요다른프랜차이즈 치킨보다 비싸지만 양많고 맛잇어서먹는데 오늘은 조각을 조각을 내서인지 모르겠지만평소에 시켰을때랑 너무달랐어요사진은 두조각 덜고 찍은거에요ㅜ,★★★,핫황금올리브 크리스피/1,"
맛
★
5
양
★
2
배달
★
5
",2022년 4월,5.0
20,맛있게 잘먹었습니다   ㅜ 요즘 치킨 가격이 다들 올라서 슬프지만요,★★★★,황금올리브치킨/1,"
맛
★
3
양
★
3
배달
★
4
",2022년 5월,5.0
21,마시따마시따마시따마시따,★★★★★,황금올리브치킨™ 콤보/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 4월,5.0
22,ㅏㅅ있러요 잘먹었네요,★★★★★,크런치버터치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 4월,5.0
23,신메뉴라서 시켜 봤는데 넘 맛있네용,★★★★★,오리지널 반반（황올＋크리스피）/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 3월,5.0
