,review,Total Star,Menu,Star_opt,Date,Output
43,잘 먹었어요 맛있어요,★★★★★,"교촌반반스틱/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
44,맛있어요 ㅠㅠㅠ또시켜먹울거에요,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
45,잘 먹었습니다,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,2.0
46,역시 누구나 아는 그맛 교촌 ㅋㅋ,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,1.0
47,잘먹었습니다 ,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
48,맛있어요 다음에 또 시킬 예정,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
49,맛있습니다 언제나 감사합니다,★★★★★,"교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）),무우 및 소스 추가(교촌잠발라야소스)),교촌잠발라야소스/1,트러플사워소스/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
50,맛있었어요 잘 먹었습니다,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
51,리뷰가 늦엇어용 ㅠㅠ 맛있게 잘 먹엇습니다아,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
52,역시 맛있습니다,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
53,후라이드 밋있어요,★★★★★,교촌리얼후라이드/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
54,받자마자 게눈감추듯 먹느라 늦게 찍었네요 교촌긴말안합니다,★★★★★,교촌레드콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
55,맛있게 잘 먹었습니다 ,★★★★★,"교촌오리지날/1,교촌허니오리지날/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
56,먹는도중 찍었네요 아주 맛있게 잘먹었습니다감사합니다 ,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
57,배달 빠르고 항상 맛있습니다,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
58,너무 맛있어요,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
59,매번시간도정확하고맛도좋아요,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
60,항상 허니만먹어요 감자서비스감사합니다,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,1.0
61,맛있게 잘먹었습니다,★★★★★,교촌허니순살[R]/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
62,존마탱 바삭해요 식어도 바삭함 ㅜㅜ 넘 맛있어,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
63,허니콤보 존맛탱구리,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
64,바삭바삭 달짝지근맛나게 잘먹었습니다사진은 몇개 집어먹고 찍은것,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
65,맛있고 깔끔합니다 배달도 빠르구요,★★★★★,"교촌반반오리지날/1,고르곤치즈볼R,（6ea）/1","
맛
★
4
양
★
5
배달
★
5
",2022년 8월,1.0
66,맛있게 잘먹었습니다,★★★★★,교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
67,바로튀긴치킨 따끈하게바로 배달해주니 넘 맛있네요,★★★★★,교촌레드윙/1(무우 및 소스 추가(교촌무우)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
68,항상 맛있게 잘 먹고 있습니다,★★★★★,교촌살살후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
69,항상 맛있게 잘먹고있습니다,★★★★★,"교촌오리지날/1,생맥주（1500cc）/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
70,배달도 빠르고 닭이 아주  쫄깃하고 맛있네요 교촌 매니아로서 확실히 맛있네요,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,1.0
71,포장주문했는데 자주시켜먹지만 오늘 바싹안튀겨지고 더 맛있네요,★★★★★,교촌레허반반순살/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
73,꼭 교촌이 생각날때가 있어요 항상 맛있어요,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
74,바삭하고 너무 맛있어요,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
75,맛있게 잘먹었습니다 추천추천,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
