,review,Total Star,Menu,Star_opt,Date,Output
14,아 스노윙 진짜 너무 오랜만에 먹는데 정말 맛있었어요 또 시키고 싶네요,★★★★★,"순살 반반/1(반마리 선택(순살치즈스노윙반,순살쇼킹핫반),사이드 추가(네네감자튀김))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
15,맛있어요 핫블링 존맛,★★★★★,"순살 반반/1(반마리 선택(순살어니언스노윙반,순살핫블링반),음료 업그레이드(사이다1.25L 업그레이드))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
16,오 맛있어요 또 시킬게요,★★★★★,"뼈 반반/1(반마리 선택(후라이드반,치즈스노윙반),음료 업그레이드(콜라1.25L 업그레이드))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
17,바삭하고 정말 맛있어요,★★★★★,"순살 반반반/1(반마리 선택(순살후라이드반,순살네네마늘치킨반,순살청양마요반))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
18,아이가 좋아해서 주문했어요 네네스위틱도 잘먹었어요 만족합니다 다음에 또 주문할께용,★★★★★,순살포테이토짜용치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
19,굿,★★★★★,윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
20,오랜만에   먹으니 맛있다,★★★★,오리엔탈파닭/1,"
맛
★
3
양
★
3
배달
★
4
",2022년 8월,5.0
21,네네치킨 청양마요 생각나서 들어왔다가 코찡마요 궁금해서 들어왔는데 와사비가 많이 맵네요 코가 뻥뚫렸어요ㅎㅎ 그래도 맛은 조아요,★★★★★,코찡마요치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,2.0
22,맛있게 잘 먹었어요,★★★★★,"뼈 반반/1(반마리 선택(후라이드반,양념반))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
23,맛있게 잘 먹었습니다,★★★★★,"순살/1(소스 추가(청양마요소스,코찡마요소스))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
24,오랜만에 먹으니 맛있네요,★★★★★,치즈스노윙/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
25,맛있어요 오래 기다렸어요 ,★★★★★,후라이드/1(사이드 추가(네네소떡（어니언스노윙맛）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
