,review,Total Star,Menu,Star_opt,Output
0,배달 시간은 분정도 걸렸지만 사장님이 직접 오신듯덕분에 갓튀긴 듯 맛나게 먹었네요 번창하세요,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.59
1,맛있게 잘먹었어요,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(갈릭),두마리 치킨2 선택 택 1(핫양념))","
맛
★
5
양
★
5
배달
★
5
",5.0
2,언제나 맛있어요 잘먹었습니다 배달도 빠르고 좋아요,★★★★★,양념반＋갈릭반/1(옵션변경(윙봉（날개）)),"
맛
★
5
양
★
5
배달
★
5
",4.79
3,잘 먹었습니다,★★★★★,오곡 양념 치킨/1(부위선택 택 1(한마리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
4,맛있게 잘먹었릅니다호,★★★★★,핫뿌레이크/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
5,항상 맛있어서 시켜먹어요,★★★★★,콘듀치킨 순살/1(음료 택 1(콜라 1.25L 추가)),"
맛
★
5
양
★
5
배달
★
5
",4.79
6,오랫만에 잘 먹었어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.39
7,진짜 맛있어요,★★★★★,"오곡 후라이드 치킨/1(부위선택 택 1(콤보（날개＋다리）),사이드 추가(스모키양념맛소떡))","
맛
★
5
양
★
5
배달
★
5
",5.0
8,너무 맛나요양도 푸짐하구요해쉬브라운 서비스 감사합니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(양념),두마리 치킨2 선택 택 1(후라이드))","
맛
★
5
양
★
5
배달
★
5
",5.0
9,항상 맛있고 푸짐한 또래오래믿고 먹는 가게라 신메뉴 도전해ㅤㅂㅘㅅ는데요 제 입맛엔 조금 짰지만 짭쪼름하면서 맛있네용  ,★★★★★,"핫뿌레이크/1(사이드 추가(치킨무 추가),소스추가(핫양념소스))","
맛
★
4
양
★
5
배달
★
5
",4.81
10,잘먹었습니다 ,★★★★★,엔젤치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
11,맛있게 잘 먹었습니다,★★★★★,고추단짠치킨 윙봉/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
12,치킨 맛있네요 퍽살도 없고 달달한 양념 좋아하시는 분들은 딱입니다,★★★★★,오곡 양념 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
3
",3.41
13,이번에도 너무맛있게 먹었네요 시켜먹을때마다 만족합니다,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(갈릭),두마리 치킨2 선택 택 1(양념))","
맛
★
5
양
★
5
배달
★
5
",5.0
14,굿,★★★★★,오곡 후라이드 치킨/1(부위선택 택 1(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.2
15,수준이 전문가 수준입니다,★★★★★,후라이드반＋갈릭반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.2
16,맛있고 푸짐하네요 굿굿,★★★★★,"두마리 순살/1(두마리 치킨1 선택 택 1(후라이드),두마리 치킨2 선택 택 1(양념))","
맛
★
5
양
★
5
배달
★
5
",4.8
17,맛있게 잘 먹었어요,★★★★★,갈릭반＋핫양념반/1(옵션변경(한마리)),"
맛
★
5
양
★
5
배달
★
5
",4.8
18,항상 맛있게 잘먹고있습니다 감사합니다,★★★★★,"갈릭반＋핫양념반/1(옵션변경(순살（다리살）),사이드 추가(포테이토치즈볼))","
맛
★
5
양
★
5
배달
★
5
",5.0
19,맛있게 잘 먹었습니다,★★★★★,단짠치킨 윙봉/1(소스추가(핫양념소스)),"
맛
★
5
양
★
5
배달
★
5
",4.8
20,맛있어서 단골ㅤㄷㅚㅆ어요,★★★★★,후라이드반＋양념반/1(옵션변경(순살（다리살）)),"
맛
★
5
양
★
5
배달
★
5
",4.79
