,review,Total Star,Menu,Star_opt,Date,Output
9,너무 맛있게 잘먹었어요 사진도 찍으려고했는데 넘 맛있어서 잊어버렸네용 ㅎㅎㅎㅎ,★★★★★,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,1.0
10,닭이 신선하고  뻐벅살도 부드러워요닭도 통통하니 크내요간이 쫌 되어있는데  덜되었으면하는 바람이 있긴합니다맛있어요,★★★★,후라이드치킨/1,"
맛
★
4
양
★
5
배달
★
4
",2022년 8월,5.0
11,맛있어요감사합니다 ,★★★★★,"반반치킨/1(반반 선택(후라이드 반,양념치킨 반))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,2.0
12,땡초 치킨 맛있네요 진리에요,★★★★★,"반반치킨/1(반반 선택(양념치킨 반,땡초치킨 반),음료(콜라1.25변경))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
13,솔직히 예전보다 맛있어져서 놀랐어요엄청 잘먹었습니다,★★★★★,반반치킨（후라이드＋양념）/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
14,감사합니다 잘 먹었습니다,★★★★★,멕시핀（후라이드）/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
15,맛도 양도 좋아요,★★★★★,후라이드치킨/1(소스 추가(양념소스)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
16,요기요 할인으로 저렴하게 주문해서 아버지께 보내드렸어요,★★★★★,후라이드치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,2.0
17,가성비 구웃 잘먹음,★★★★★,멕시핀（양념）/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
18,배달 기사님하고 착오가 있었어요엄청 불쾌했는데 사장님때매 싹 풀렸어요 치킨 식은거 받았는데도 맛있어요뜨거울때 받으면 정말 맛있을거 같아요기사님 미웠는데 또 젊으신분 일끊길까 미안하네요 아 땡초치킨은 엔젤코코 소스에 찍어드셔보세요 정말 맛있어요,★★★★★,"반반치킨/1(반반 선택(후라이드 반,땡초치킨 반),사이드메뉴 추가(더블치즈볼),소스 추가(갈릭찹찹소스,엔젤코코소스))","
맛
★
5
양
★
5
배달
★
1
",2022년 7월,5.0
19,언제나 즐겨 시켜 먹고 있습니다 감사합니다,★★★★★,땡초치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 7월,4.0
20,순살이 가슴살 위주인듯요 많이 퍽퍽한 느낌이었습니다,★★★★★,"순살반반/1(순살반반 선택(순살후라이드 반,순살간장 반))","
맛
★
4
양
★
5
배달
★
5
",2022년 7월,5.0
21,사징님 너무 친절하시고 양도 많고 맛있어요양념도 맛있고 후라이드도 맛있어요  다음엔 다른맛도 주문해봐야겠어요 맛이 느끼하지 않고 깔끔해요,★★★★★,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반))","
맛
★
5
양
★
5
배달
★
0
",2022년 7월,4.0
22,친절하시고 맛있어요,★★★★★,순살반반치킨（후라이드＋양념）/1,"
맛
★
5
양
★
5
배달
★
0
",2022년 7월,5.0
23,넘 맛있었어요 감사합니다,★★★★★,"투마리세트/1(치킨선택 1(양념치킨),치킨선택 2(간장치킨))","
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
24,언제나 최고입니다또 시킬께요,★★★★★,땡초치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 7월,5.0
