,review,Total Star,Menu,Star_opt,Date,Output
33,맛있어요 배달도 빠르고,★★★★★,두마리치킨세트（후라이드＋양념치킨）/1(사이드 메뉴 추가(양념소스 큰컵（100g）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
34,페리카나 너무너무 맛있어요 항상 ㅠㅠ,★★★★★,반반치킨/1(사이드 메뉴 추가(매운양념소스 큰컵（100g）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
35,맛도있구 배달도 빠르네요,★★★★★,"후라이드/1,양념치킨/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
36,역시 믿고 먹었어요 정말 맛있네요,★★★★★,두마리치킨세트（후라이드＋양념치킨）/1(사이드 메뉴 추가(펩시콜라 1.25L)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
37,배달빠르고 맛있어요,★★★★,반반치킨/1,"
맛
★
4
양
★
4
배달
★
4
",2022년 8월,5.0
38,맛있어요 감사합니다,★★★★★,순살반반/1(사이드 메뉴 추가(양념소스 큰컵（100g）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
39,진짜 페리카나 너무맛있다 다리날개먹다가 이거먹었는데 정말 맛있어요,★★★★★,"페리윙/1(사이드 메뉴 추가(양념소스 큰컵（100g）,치킨무))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
40,따뜻하게 빠른 배달까지 감사히 잘먹었습다 먹다보니 사진을 못찍었네여 ㅠㅠㅠ,★★★★★,순살반반/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
41,먹어도 먹어도 중독되는 맛,★★★★★,다리＋날개/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,1.0
42,배달 너무 느리네요시간분 걸린듯음식도 다 식고,★★★,순살양념/1,"
맛
★
5
양
★
4
배달
★
1
",2022년 8월,5.0
43,페리카나는 역시 독산점 배달도 빠르고 맛있게잘먹었습니다,★★★★★,반반치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
44,맛있게 잘 먹었습니다,★★★★★,순살양념/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
45,동네에서 제일 맛있어요,★★★★★,반반치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
46,늘 맛있고 늘 친절하신 사장님 감사합니다,★★★★★,매운반반치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,1.0
