,review,Total Star,Menu,Star_opt,Date,Output
126,맛있게잘먹었어요 리뷰이벤트 눈꽃치즈감자도맛있어요,★★★★★,텐더 고추마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
128,맛은 괜찮은데 좀 짜네요,★★★★,텐더 파불로/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
130,피자는 오늘 처음 시켜먹는건데 너무 맛있었습니다,★★★★★,"P 피자 （쉬림프베이컨）/1(치킨 선택(콘소메이징)),악마소스 추가/1,코카콜라 1.25L（추가）/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
132,양이많음 좋겠어요 맛은있어요 ,★★★★,"푸라반＋고추반/1(부위 선택 （푸라반 ＋ 고추반）(뼈 선택),선택 옵션(웨지감자 추가))","
맛
★
4
양
★
3
배달
★
4
",2022년 8월,5.0
134,존맛치킨 순위 고추마요가 최고,★★★★★,순살 고추마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
136,제 치킨 픽밋밋하지않고 부담스럽지도않은 편안한맛이 좋아치킨이 생각날때 이곳에서 주문합니다모든 메뉴 먹어보기 도전,★★★★★,순살 블랙마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
138,맛있게 잘 먹었습니다 감사합니다,★★★★★,순살 블랙알리오/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
140,콘소메이징 처음 먹어보는데 너무 맛있어요 꼭꼭 옥수수 추가하세요 진짜 너무 맛있습니다,★★★★★,"순살 콘소메이징/1(토핑 추가(군옥수수 토핑 추가 （6개）),콘소메 사이드메뉴(콘소메 레귤러컷))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
142,맥주랑 야무지게먹었어요 해장되는느낌,★★★★★,순살 고추마요/1,"
맛
★
5
양
★
5
배달
★
4
",2022년 8월,5.0
144,ㅇ ㅏ 정신 없이 먹었넹,★★★★★,"순살 콘소메이징/1,악마소스 추가/1,고추마요소스 보틀（240g）/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
146,푸라닭 최고에여 ㅎㅎㅎㅎㅎ,★★★★★,"블랙알리오/1(사이드메뉴(기름떡볶이 （달콤）),（뼈）_반마리(달콤반),음료 사이즈업(코카콜라 1.25L（사이즈업）))","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
148,맛있게 잘 먹었어요 서비스 눈꽃 치즈도 감사합니다,★★★★★,순살 달콤양념/1(사이드메뉴(기름떡볶이 （레드）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
150,남편이 먹고 싶다고 해서 시켰는데 맛있어요양도 생각보다 많구요종종 시켜먹을만해요 배달도 빨랐어요,★★★★★,텐더 고추마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
152,맛있어요,★★★★★,순살 블랙마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
154,사장님 쿠폰 챙겨주셔서 감사해요 치킨도 아주 맛있게 먹었어요 더운 날씨 늘 건강챙기세요,★★★★★,푸라닭 치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
155,너무너무맛있고 배달기사님이 엄청 친절하셨어요,★★★★★,콘소메이징/1(토핑 추가(군옥수수 토핑 추가 （6개）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
156,푸라닭 너무 먹고싶어서 주문했어요역시 고추마요랑 블랙알리오는 언제나 맛있습니당,★★★★★,순살 블랙마요/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
157,맛있어요 배달이 늦게와서 콘소메가 눅눅해졌네요,★★★★,텐더 콘소메이징/1,"
맛
★
4
양
★
4
배달
★
4
",2022년 8월,4.0
158,사진을 다 먹고 생각이 났네여ㅜㅜㅜ 그치만 말해모해 푸라닭 넘 마시쪄여 욤뇸뇸,★★★★★,순살 블랙마요/1(콘소메 사이드메뉴(콘소메 치즈볼)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
159,잘 먹었습니다,★★★★★,순살 콘소메이징/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
160,바질 좋아하시는 분들 꼭 먹으세요 바질이면 무조건 먹고 보는데 역시 프라닭은 실망시키지 않았습니다 너무 맛있어여ㅠㅠ 눈꽃감자도 꿀맛이에요 바질 진짜 핵강츄,★★★★★,바질페스타/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
161,양은조금 아쉽지만 그래도 여기서만먹게되네요,★★★★★,"푸라 윙콤보/1,달콤양념소스 추가/1,악마소스 추가/2","
맛
★
5
양
★
4
배달
★
5
",2022년 8월,4.0
162,배달 빠르고 정말로 맛있습니다,★★★★★,텐더 고추마요/2(음료 사이즈업(코카콜라 1.25L（사이즈업）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
163,잘 먹었습니다 많이 파세요,★★★★★,푸라닭 치킨/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
164,비오는날치맥너무맛나게먹었어요,★★★★★,"텐더 고추마요/1,순살 바질페스타/1","
맛
★
5
양
★
5
배달
★
0
",2022년 8월,5.0
165,엄마가 무척 좋아하시네요 비오는 날씨에 배달해주샤서 감사합니다,★★★★★,블랙알리오/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
166,배달도 정확하고 맛있었어요 ,★★★★★,블랙알리오/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
167,간장에 마늘칩바삭바삭 최고에요 ㅠ,★★★★★,순살 블랙알리오/1(선택 옵션(악마소스 추가)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
168,맛있어요 ㅠ 늦기전에 리뷰 몰아씁니다시즈닝 치킨중 최고에요,★★★★★,순살 콘소메이징/1(음료 사이즈업(코카콜라 1.25L（사이즈업）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
169,양도 많고 너무 맛있었어요ㅎㅎ,★★★★★,"순살 콘소메이징/1(사이드메뉴(블랙치즈볼)),테라생맥주 1000㏄/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
170,정말 맛있더라구요 ㅎㅎ 재주문 의사 있습니다,★★★★★,순살 블랙마요/1(선택 옵션(달콤양념소스 추가)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
171,맛있어요 같이 먹은 핀구들이 첨 먹는다더니 마ㅛ잇다네요,★★★★★,순살 바질페스타/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
172,맛은 있으나 무를 빼달라해도 넣어주시고 서비스인 감자는 봉투가 다 터져있어서 흩어져있네요,★★★★,바질페스타/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
173,푸라닭이 치킨집중에 제일맛있어요,★★★★★,"콘소메이징/1,블랙알리오/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
174,맛잇어요ㅠㅠㅠㅠㅠ너무 맛있어요,★★★★★,바질페스타/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,4.0
175,맛있게 잘 먹었습니다 잘 먹었습니다,★★★★★,텐더 콘소메이징/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
176,잘 먹었습니다,★★★★★,푸라닭 치킨/1,"
맛
★
4
양
★
5
배달
★
5
",2022년 8월,5.0
177,진짜 맛있었어용 배달도 빨랐고 음식도 따끈따끈치킨은 말해 뭐합니까퍽퍽살고 너무 부드럽고 양념도 충분해서 넉넉히 잘먹었습니다 또 주문할게요,★★★★★,콘소메이징/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
178,배달 겁나 빠름 넘좋아요블랙악마는 첨시켜봤는데 불향이 나면서 맛있어요 고추마요는 최애입니다맛있게 잘먹었습니다,★★★★★,"순살 블랙악마/1,순살 고추마요/1","
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
179,맛있게 잘 먹었습니다,★★★★★,텐더 후레이크/1,"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
180,콘소메를 주문할때는 꼭 옥수수추가하세요가루 넉넉히 듬뿍 뿌려주셔서 끝까지 맛있게 잘 먹었습니다눈꽃치즈감자도 맛났어요다음에 치킨 생각나면 재주문하러 오겠습니당,★★★★★,콘소메이징 윙콤보/1(토핑 추가(군옥수수 토핑 추가 （6개）)),"
맛
★
5
양
★
5
배달
★
5
",2022년 8월,5.0
