,review,Total Star,Menu,Star_opt,Output
0,원래 자취방에서 배으로 시켜먹다가오늘 회사에서 요기요로 시켜먹었어요다른 지점 말고 꼭 구로점에 시켜야한다고 그래서 ㅋㅋㅋ 다들 맛있게 먹었습니당,★★★★★,"교촌허니콤보/1,교촌무우/1","
맛
★
5
양
★
5
배달
★
5
",4.8
1,배송도 빨랐고 맛있었습니다 ㅎㅎ,★★★★★,교촌반반윙/1(사이드 메뉴(교촌웨지감자（세트）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
2,배달 생각보다 빨리 왔어여 맛있게 잘 먹었습니다  ,★★★★★,교촌리얼후라이드/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.8
3,맛있게 잘 먹었어요,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.8
4,맛있습니다 ㅋㅋㅋ,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
5,오랜만에 먹었는데 너무 맛있어요,★★★★★,교촌레드오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.58
6,항상 맛있습니다 가까워서 포장으로먹는데 오래안기다려서 좋아요,★★★★★,교촌반반순살[R]/1,"
맛
★
5
양
★
5
배달
★
0
",4.79
7,배달 빠르고 맛있어요,★★★★★,교촌반반오리지날/1,"
맛
★
4
양
★
5
배달
★
5
",4.41
8,가족들과 맛있게 먹었습니다,★★★★★,"교촌허니오리지날/1,교촌레드윙/1","
맛
★
5
양
★
5
배달
★
5
",4.42
9,맛있네요 조금 짜요,★★★★★,교촌순살[R]/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
10,할살 맛있게 잘 먹고 있어요,★★★★★,교촌살살후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
11,언제나 맛 좋은 교오초온,★★★★★,"교촌허니오리지날/1,교촌레드콤보[S]/1","
맛
★
5
양
★
5
배달
★
0
",4.61
12,모든면에서 만족합니다,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",4.79
13,배달도빠르고 맛있어요,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
14,배달 빠르고 치킨이 참 맛있습니다 맛있게 잘 먹었습니다 ,★★★★★,"교촌허니콤보/1,교촌스틱[S]/1","
맛
★
5
양
★
5
배달
★
5
",4.6
15,항상 맛있게 잘 먹고 있어요,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
16,휴대폰이 위치를 못잡아서 카메라가 먹통이라 예전사진으로 대체할게요ㅠㅠ 맛있게 잘 먹었습니다감사합니당,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.03
17,치킨이 짭짤해서 밥이랑 같이 먹었어요,★★★★★,블랙시크릿순살/1(사이드 메뉴(교촌궁중닭갈비볶음밥（간장맛）)),"
맛
★
5
양
★
5
배달
★
5
",3.98
18,맛있게 먹었습니당 ,★★★★★,"교촌허니오리지날/1,포테이토앤칩스（점보팩）/1","
맛
★
5
양
★
5
배달
★
5
",4.6
19,치킨은 역시 교촌이네요 그중에서도 러ㅣ드 넘좋아요,★★★★★,교촌레드오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
20,맛있어용ㅎㅎㅎㅎ,★★★★★,"교촌윙/1(사이드 메뉴(선택안함)),교촌레드콤보[S]/1","
맛
★
5
양
★
5
배달
★
5
",4.78
21,맛있게 먹었습니당,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.6
22,독산점은 믿고 먹습니다 이번에도 진짜 촉촉하고 닭도 크고 너무 맛있게 먹었어요 잘 먹었습니다,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
23,감자 서비스 감쟈합니당치킨은 두말할 것도 없고 시나몬 꽈배기 진짜 넘 쫀득하고 맛있었어요 떡인줄조금 아쉬웠던건 시나몬설탕이 너무 찔끔 묻어있어서 가운데꺼 말고 사이드 두개는 그냥 아무것도 안뿌린 꽈배기였다는점ㅜㅜ 담엔 팍팍 부탁드려용,★★★★★,교촌반반콤보/1(사이드 메뉴(쫀드칸꽈배기（시나몬슈가）)),"
맛
★
5
양
★
4
배달
★
0
",1.99
24,언제 먹어도 맛있는 허니 콤보  맛있게 잘 멀었습니다아,★★★★★,교촌허니콤보/1(무우 및 소스 추가(레드디핑소스)),"
맛
★
5
양
★
5
배달
★
5
",4.4
25,포장주문으로 만든거 바로 받아와서 먹었어요질기지않고 부드럽고 맛있었어요,★★★★★,교촌레허반반순살/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",5.0
26,배달이 빨라요ㅎ 허니콤보도 맛있었어용,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
27,배달 빠르고 항상 맛있습니다,★★★★★,교촌반반오리지날/1(사이드 메뉴(칩카사바)),"
맛
★
5
양
★
5
배달
★
5
",5.0
28,오자마자먹어서 사진을못찍었네요 레드콤보는 양념이너무안묻혀있어서맛이좀 떨어지네요,★★★★★,"교촌레드콤보/1(사이드 메뉴(쫀드칸꽈배기（시나몬슈가）)),교촌허니콤보/1,교촌무우/2,펩시（사이즈업）1.25L/2","
맛
★
5
양
★
5
배달
★
5
",1.41
29,배달 빠르고 서비스도 최고입니다,★★★★★,교촌허니오리지날/1(사이드 메뉴(칩카사바)),"
맛
★
5
양
★
5
배달
★
5
",5.0
30,잘 묵었어요 잘 먹었어요,★★★★★,교촌허니콤보/1,"
맛
★
4
양
★
5
배달
★
0
",5.0
31,맛있게 잘 먹었습니다,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
4
배달
★
5
",4.8
32,맛있어요양도 많고 튀김도 적절쓰,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
33,잘 먹었어요 맛있어요,★★★★★,"교촌반반스틱/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",5.0
34,맛있어요 ㅠㅠㅠ또시켜먹울거에요,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.81
35,잘 먹었습니다,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
36,역시 누구나 아는 그맛 교촌 ㅋㅋ,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",3.56
37,잘먹었습니다 ,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
38,맛있어요 다음에 또 시킬 예정,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.62
39,맛있습니다 언제나 감사합니다,★★★★★,"교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）),무우 및 소스 추가(교촌잠발라야소스)),교촌잠발라야소스/1,트러플사워소스/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",5.0
40,맛있었어요 잘 먹었습니다,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
41,리뷰가 늦엇어용 ㅠㅠ 맛있게 잘 먹엇습니다아,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
42,역시 맛있습니다,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.8
43,후라이드 밋있어요,★★★★★,교촌리얼후라이드/1,"
맛
★
5
양
★
5
배달
★
0
",2.39
44,받자마자 게눈감추듯 먹느라 늦게 찍었네요 교촌긴말안합니다,★★★★★,교촌레드콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",2.61
45,맛있게 잘 먹었습니다 ,★★★★★,"교촌오리지날/1,교촌허니오리지날/1","
맛
★
5
양
★
5
배달
★
5
",4.8
46,먹는도중 찍었네요 아주 맛있게 잘먹었습니다감사합니다 ,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",4.6
