,review,Total Star,Menu,Star_opt,Output
0,맛있게 잘 먹었숩니당 ㅎ,★★★★★,오리지널 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
1,치밥으로 딱이네요 ㅋ,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
2,밥이랑 먹으려구 순살 시켜써요 궁합 짱,★★★★★,갈비천왕 순살/1,"
맛
★
5
양
★
5
배달
★
5
",3.81
3,배달도 빠르고 맛있어요 또 주문할께요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
4,너무너무너ㅜ너무 맛있게 잘먹었어요 엄마빠도 맛있다고 해서 기분이 좋네요 시킬때마다 늘 만족스러워요,★★★★★,오리지널 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
5,매번 맛있게 먹었는데 이번엔 바삭하지도 않고 한쪽은 덜 구워진 느낌이예요 아쉽,★★★★★,고추바사삭/1,"
맛
★
4
양
★
5
배달
★
5
",2.42
6,바삭 바삭  제대로 된 치킨먹은 느낌배달도 빠름,★★★★★,"고추바사삭/1,찍먹커리（치킨마크니）/1","
맛
★
4
양
★
5
배달
★
5
",3.8
7,겉바속촉 짱이에요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
8,코로나 밥배달해준남친테 고마워서 치킨사조쏘여밥까지 비벼서 맛있게먹었다고하네여 ㅎㅎㅎ감사합미다,★★★★★,볼케이노 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
9,주문한지거의시간쯤도착함그래서회식모임망침,★,（New）오븐바사삭/1,"
맛
★
1
양
★
1
배달
★
1
",3.61
10,맛있게 잘먹었어요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
11,맛나요 간식 맛집 치킨도 맛나요,★★★★★,（New）오븐바사삭 순살/1(사이드메뉴 추가선택(에그미니타르트)),"
맛
★
5
양
★
5
배달
★
5
",4.6
12,야무지게 잘 먹었습니다 감자 양도 많아서 너무 좋았어용,★★★★★,불금치킨＋바비큐시카고피자/1(사이드메뉴 추가선택(K웨지감자)),"
맛
★
5
양
★
5
배달
★
5
",4.8
13,양도 많고 맛았어요,★★★★★,"치트킹 （콘스프맛）/1,치트킹 （매콤치즈맛）/1,모짜치즈볼/2,K웨지감자/1","
맛
★
5
양
★
5
배달
★
5
",4.8
14,시간 맛 다 좋은 곳입니다,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
0
",4.81
15,맛과 서비스 때문에 항상 만족합니다,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
16,배달은 빨리 왔는데 주무한음식이 빠져서 아쉽네요음식점에서 잘못한거라 다시왔지만 써비스가 없어서 아쉽네요,★★★★,"고추바사삭 순살/1(사이드메뉴 추가선택(매콤치즈소떡소떡)),치트킹 （콘스프맛）/1","
맛
★
4
양
★
3
배달
★
4
",1.0
17,구디 굽네 항상 너무 맛있어요,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
18,맛있게 잘 먹었습니다,★★★★★,볼케이노/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
19,고추 바사삭 처음 먹어봤는데 엄청 맛있었어요  배달도 빨리해주셔서 감사했습니다 맛있게 잘 먹었습니다,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
20,따뜻하고 맛있어요,★★★★★,（New）오븐바사삭/1,"
맛
★
5
양
★
5
배달
★
0
",4.6
21,맛있게 잘먹었습니다,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
22,맛있게 잘먹었습니다,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
23,맛있게 잘먹었습니다,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
24,굽네 바사삭은 언제 먹어도 맛있어요,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
25,굽네 시카고피자 맛있어요,★★★★★,시카고 피자/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
26,굽네치킨 맛있어요,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
27,맛있어요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
28,오븐 바사삭 너무 맛있어요원래 양념 강한걸 안 좋아하는데 이건 짭쪼름한데 바삭한게 너무 맛있네요,★★★★★,（New）오븐바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",4.39
29,신메뉴는 생각보다 별로네요 역시 고추바사삭이잘 먹었어요,★★★★★,（New）오븐바사삭/1,"
맛
★
4
양
★
5
배달
★
5
",2.0
30,감사합니다 잘먹었어여,★★★★★,고추바사삭 윙/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
31,맛있게 잘먹었습니다 ㅎㅎ,★★★★★,볼케이노/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
32,고추바사삭 순살에 완전 빠졌어요 항상 예정시간보다 빠르게 가져다주시고 따듯하고 바삭하게 배달되어서 맛있게 먹고있어요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
33,빨리와서 맛있게 먹었습니다,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
34,바삭하니 기름기없이 최고입니다,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",4.0
35,배달도 잘해주셔서 감사드리고 맛있습니다,★★★★★,갈비천왕 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
36,비오는데 빨리 왔어요,★★★★,고추바사삭 윙/1,"
맛
★
4
양
★
4
배달
★
5
",3.67
37,비와서 오래걸릴 거라 생각했는데 분만에 왔어요 너무 좋았지만 미안함이맛은 역시 최고죠 사진 찍을 시간도 없이 다 먹었습니다 ㅡㅠㅡ,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",3.82
38,배달도 빠르고 맛있게 잘먹었습니다,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
39,엄청 빨리 준비되고 맛있었어요 방문 포장하면 원 할인되네요 포장 주문하실 분들은 참고하세요 ㅎㅎ,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
40,역시 굽네 고추바사삭 그냥 먹어도 맛있고 두가지 소스 번갈아 찍어먹어도 맛있고 요즘 최애치킨입니다,★★★★★,고추바사삭 윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
41,튀기지 않아 느끼하지 않아용바삭바삭소스도 맛있어여,★★★★★,고추바사삭 콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.0
42,비맞아서 다 젖었네요,★★★,고추바사삭/1,"
맛
★
3
양
★
3
배달
★
3
",4.38
43,치킨이 따듯하게 왔고 가끔 바사삭 시켜도 눅눅할때가 있는데 이번엔 바삭하게 잘 와서 맛있게 먹었습니다,★★★★★,고추바사삭 콤보/1(사이드메뉴 추가선택(에그미니타르트)),"
맛
★
5
양
★
4
배달
★
5
",3.41
44,고추 바사삭 맛있어요 살짝 맵긴 했지만 바삭하니 맛있네요,★★★★★,고추바사삭 순살/1(각무_피클_소스 추가선택(치킨무)),"
맛
★
5
양
★
5
배달
★
5
",4.6
45,고추바사삭 순살,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
3
배달
★
5
",3.65
46,비가 많이 오는데 배송도 빠르게 왔고 잘먹었습니다,★★★★,（New）오븐바사삭/1(각무_피클_소스 추가선택(고블링소스)),"
맛
★
5
양
★
5
배달
★
5
",4.79
47,굽네 정말 맛있네요 ,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
48,배달도 빠르고 오리지널보다 바삭한 맛이 좋았습니다,★★★★★,（New）오븐바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",3.18
49,맛있게 잘먹었습니다,★★★★★,오리지널 순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
50,고추바사삭 체고체고,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",4.04
51,유일하게 한 마리 다 먹을 수 있는 치킨입니다 정말 맛있었어요,★★★★★,"（New）오븐바사삭 순살/1,볼케이노 순살/1","
맛
★
5
양
★
5
배달
★
5
",4.8
52,ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ ㅅ,★★★★★,고추바사삭 윙/1,"
맛
★
4
양
★
5
배달
★
5
",2.98
53,조리도빠르고맛있어요,★★★★★,고추바사삭 순살/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
54,맛나게 잘 먹엇어요,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
55,치킨도 맛있고 요청사항도 잘 들어주셨습니다 근데 분명 주문에 콜라 사이즈업으로 주문했는데 작은 캔콜라 하나만 와서 매장에 전화를 계속 했는데 이미 퇴근을 하셨는지 통화가 안되더라구요 그래서 어쩔 수 없이 리뷰로 남깁니다ㅠㅠㅠㅜ 리뷰 보시면 연락부탁드릴게요ㅠ,★★★★★,"고추바사삭 순살/1(음료 추가선택(콜라 1.25L 사이즈업,))","
맛
★
5
양
★
5
배달
★
5
",1.81
56,맛있게 잘 먹었습니다,★★★★★,（New）오븐바사삭/1,"
맛
★
4
양
★
5
배달
★
4
",4.8
57,맛있게 잘 먹었습니다,★★★★★,고추바사삭/1(각무_피클_소스 추가선택(고블링소스)),"
맛
★
5
양
★
5
배달
★
5
",4.8
58,맛있게 잘 먹었습니다 튀김 바삭해요 배달도 빠르고요,★★★★★,"오리지널/1,갈비천왕/1","
맛
★
5
양
★
4
배달
★
4
",4.6
59,맛나게 먹었습니다,★★★★★,"고추바사삭 순살/2,갈비천왕 그릴드비프 피자/1","
맛
★
5
양
★
5
배달
★
5
",4.6
60,픽업했는데 다리 하나밖에 안들었네요외다리 닭인가요ㅠㅠ,★★★,오리지널/1,"
맛
★
5
양
★
3
배달
★
0
",2.4
61,오븐바사삭 잘 먹었습니다,★★★,（New）오븐바사삭/1,"
맛
★
2
양
★
3
배달
★
3
",5.0
62,맛있게 먹었어요 굽기 조절되는지 몰랐는데 요청할수있어서 좋으네요,★★★★★,오리지널 콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
63,맛있게 잘먹었습니다 ㅎㅎ,★★★★★,"고추바사삭/1,오리지널/1","
맛
★
5
양
★
5
배달
★
5
",5.0
64,굿굿 맛있습니다 굿굿,★★★★★,불금치킨＋바비큐시카고피자/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
65,늘 시켜먹는데 바싹하게 잘 익혀주시고 너무 맛있습니당,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
66,맛있다 냠냠냠냠냠냠,★★★★★,"（New）오븐바사삭 순살/1(음료 추가선택(콜라 1.25L 사이즈업,))","
맛
★
5
양
★
5
배달
★
5
",4.6
67,잘받았습니다 비오는날 고생하십쇼,★★★★★,（New）오븐바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",4.79
68,맛있어요,★★★★★,고추바사삭/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
69,굽네치킨 은  구운닭이라 양은적지만 소스는 맛있네요 이벤트로 맛있게 먹었습니다 생각보다는 덜 맵네요 ㅎㅎ,★★★★★,반반 C/1(사이드메뉴 추가선택(매콤치즈소떡소떡)),"
맛
★
4
양
★
3
배달
★
0
",3.8
70,너무맛있어요,★★★★★,오리지널/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
