,review,Total Star,Menu,Star_opt,Output
0,빠른배송 감사합니다,★★★★★,순살양념（보통맛）/1(추가메뉴(떡사리)),"
맛
★
5
양
★
5
배달
★
5
",4.6
1,시켜먹을때마다 후회 안해요,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
2,항상 맛있어요 ㅎㅎ,★★★★★,"순살양념（보통맛）/1,콜라 1.25L/1","
맛
★
5
양
★
5
배달
★
5
",4.81
3,오랜만에 먹었는데 여전히 맛있네용 ㅎㅎㅎ 치밥은 역시 지코바,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.59
4,잘먹었습니다 감사합니다,★★★★★,순살양념（보통맛）/1(추가메뉴(떡사리)),"
맛
★
5
양
★
5
배달
★
5
",5.0
5,항상 잘 먹고 있어요 감사합니다,★★★★★,"순살양념（보통맛）/2,사이다 1.25L/1","
맛
★
5
양
★
5
배달
★
5
",5.0
6,아주맛있습니다 추천,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
7,배달도 빨랐고 친절하셨어요,★★★★★,순살양념（매운맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
8,맛있게 잘 먹었습니다,★★★★★,순살양념（순한맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
9,예상배달시간이랑 비슷하게 도착했고 요청사항대로 젓가락 숫가락도 개씩 잘 챙겨주셨습니다 배부르고 너무 맛있게 잘먹었습니다 번창하세요,★★★★★,"순살양념（순한맛）/1,공기밥 추가/2","
맛
★
5
양
★
5
배달
★
5
",4.8
10,소금구이 맛있게 잘 먹었어요,★★★★★,순살소금구이치킨/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
11,맛있었어요 또 시킬게요,★★★★★,순살양념（순한맛）/1(추가메뉴(떡사리)),"
맛
★
5
양
★
5
배달
★
5
",4.61
12,맛있게 잘 먹었습니다,★★★★★,순살양념（순한맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
13,배달 빨라 맛도 좋아 뭐가 빠지는게 없네요 잘먹었어요,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
14,살이 퍽퍽해진것 같긴하지만 떡이랑 밥 비벼먹는게 꿀맛 역시 지코바에요,★★★★★,순살양념（순한맛）/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
15,넘넘 맛잇어여ㅎㅎㅎ,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
16,시켜먹을때마다 맛있어요,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
17,역시 치밥등 지코바,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",3.79
18,여기 깔끔하게 잘하네요 ㅋㅋㅋ,★★★★★,뼈 양념치킨（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
19,너무 맛있어요,★★★★★,뼈 양념치킨（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
20,맛있어요,★★★★★,"순살양념（보통맛）/1,공기밥 추가/2,음료 대 변경/1,배달 생맥주 1000cc/1","
맛
★
5
양
★
5
배달
★
5
",5.0
21,와이프랑 오랜만에 먹었는데 맛있습니다 바로 햇반하나 투입했는데 치밥은 독보적이네요,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
0
",4.0
22,맛있게 잘 먹었습니다 ,★★★★★,순살양념（보통맛）/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
